service_id,total_playtime,avg_daily_playtime,days_active,total_pns,avg_daily_pns,total_days_completed,unique_words_exposed,avg_interactions_per_word,words_with_4plus_exposures,trained_count,untrained_count,random_count,trained_with_4plus_exposures,id,timestamp_pre,original_score_pre,total_correct_pre,total_questions_pre,percentage_pre,total_trained_correct_pre,total_trained_questions_pre,trained_percentage_pre,total_untrained_correct_pre,total_untrained_questions_pre,untrained_percentage_pre,grade_pre,timestamp_mid,original_score_mid,total_correct_mid,total_questions_mid,percentage_mid,total_trained_correct_mid,total_trained_questions_mid,trained_percentage_mid,total_untrained_correct_mid,total_untrained_questions_mid,untrained_percentage_mid,grade_mid,overall_change,trained_change,untrained_change,exposure_group,days_group,playtime_group,pns_group,days_completed_group,unique_words_group,avg_interactions_group,trained_words_group,trained_with_4plus_group
5d4c0d1fe88b9a016f49228f,55.95,9.33,6,48.0,8.0,0.0,16,4.75,10,11,0,5,6,5d4c0d1fe88b9a016f49228f,3/6/2025 10:13:34,8 / 30,8,30,26.7,4,18,22.22222222222222,4,12,33.33333333333333,Fourth,4/17/25 10:14,13 / 30,13,30,43.3,8,16,50.0,5,14,35.714285714285715,Fourth,16.599999999999998,27.77777777777778,2.3809523809523867,med,low,low,med,low,med,med,med,med
5d4c0d1fe88b9a016f492331,171.15,14.26,12,106.0,10.6,4.0,23,8.87,22,17,0,6,16,5d4c0d1fe88b9a016f492331,3/7/2025 12:51:55,15 / 30,15,30,50.0,12,18,66.66666666666666,3,12,25.0,Fourth,4/17/25 08:46,8 / 30,8,30,26.7,4,16,25.0,4,14,28.57142857142857,Fourth,-23.3,-41.66666666666666,3.5714285714285694,high,med,high,high,high,med,high,high,high
5d4c0d1fe88b9a016f492354,29.17,7.29,4,7.0,2.33,0.0,3,4.0,2,0,0,3,0,5d4c0d1fe88b9a016f492354,3/6/2025 10:20:53,8 / 30,8,30,26.7,3,18,16.666666666666664,5,12,41.66666666666667,Fourth,4/17/25 10:15,18 / 30,18,30,60.0,12,16,75.0,6,14,42.857142857142854,Fourth,33.3,58.333333333333336,1.1904761904761827,low,low,low,low,low,low,low,low,low
5d4c0d1fe88b9a016f49235b,33.81,5.64,6,20.0,4.0,0.0,8,3.62,4,4,0,4,0,5d4c0d1fe88b9a016f49235b,3/6/2025 10:16:41,9 / 30,9,30,30.0,6,18,33.33333333333333,3,12,25.0,Fourth,4/17/25 10:14,14 / 30,14,30,46.7,9,16,56.25,5,14,35.714285714285715,Fourth,16.700000000000003,22.91666666666667,10.714285714285715,low,low,low,low,low,low,low,low,low
5d4c0d1fe88b9a016f492375,259.02,17.27,15,172.0,11.47,6.0,39,7.77,33,29,0,10,25,5d4c0d1fe88b9a016f492375,3/7/2025 9:49:04,9 / 30,9,30,30.0,5,18,27.77777777777778,4,12,33.33333333333333,Fourth,4/17/25 08:43,12 / 30,12,30,40.0,5,16,31.25,7,14,50.0,Fourth,10.0,3.4722222222222214,16.66666666666667,high,high,high,high,high,high,high,high,high
5d4c0d1fe88b9a016f49237e,96.01,8.0,12,67.0,8.38,2.0,18,4.56,10,12,0,6,6,5d4c0d1fe88b9a016f49237e,3/6/2025 10:55:00,16 / 30,16,30,53.3,10,18,55.55555555555556,6,12,50.0,Fourth,4/17/25 11:19,24 / 30,24,30,80.0,12,16,75.0,12,14,85.71428571428571,Fourth,26.700000000000003,19.444444444444443,35.71428571428571,med,med,low,med,med,med,med,med,med
5d4c0d1fe88b9a016f49238d,17.35,4.34,4,12.0,3.0,0.0,5,3.8,3,1,0,4,0,5d4c0d1fe88b9a016f49238d,3/6/2025 10:17:33,17 / 30,17,30,56.7,9,18,50.0,8,12,66.66666666666666,Fourth,4/17/25 10:12,17 / 30,17,30,56.7,10,16,62.5,7,14,50.0,Fourth,0.0,12.5,-16.666666666666657,low,low,low,low,low,low,low,low,low
5d4c0d1fe88b9a016f4923b4,139.02,12.64,11,95.0,10.56,3.0,23,6.57,20,17,0,6,14,5d4c0d1fe88b9a016f4923b4,3/7/2025 9:57:37,8 / 30,8,30,26.7,6,18,33.33333333333333,2,12,16.666666666666664,Fourth,4/17/25 08:47,9 / 30,9,30,30.0,5,16,31.25,4,14,28.57142857142857,Fourth,3.3000000000000007,-2.0833333333333286,11.904761904761903,high,med,med,med,med,med,high,high,high
5d4c0d1fe88b9a016f492410,343.67,19.09,18,167.0,11.13,7.0,33,6.52,26,25,0,8,20,5d4c0d1fe88b9a016f492410,3/6/2025 13:49:57,13 / 30,13,30,43.3,6,18,33.33333333333333,7,12,58.333333333333336,Fourth,4/17/25 08:27,13 / 30,13,30,43.3,7,16,43.75,6,14,42.857142857142854,Fourth,0.0,10.416666666666671,-15.476190476190482,high,high,high,high,high,high,high,high,high
5d4c0d1fe88b9a016f49243f,108.76,10.88,10,33.0,5.5,1.0,10,5.4,8,6,0,4,4,5d4c0d1fe88b9a016f49243f,3/7/2025 9:51:17,10 / 30,10,30,33.3,7,18,38.88888888888889,3,12,25.0,Fourth,4/17/25 08:47,8 / 30,8,30,26.7,5,16,31.25,3,14,21.428571428571427,Fourth,-6.599999999999998,-7.638888888888893,-3.571428571428573,low,med,med,low,low,low,med,low,med
5d4c0d1fe88b9a016f492452,266.4,22.2,12,152.0,12.67,6.0,33,6.91,29,25,0,8,21,5d4c0d1fe88b9a016f492452,3/7/2025 8:07:04,12 / 30,12,30,40.0,8,18,44.44444444444444,4,12,33.33333333333333,Fourth,4/17/25 08:26,12 / 30,12,30,40.0,6,16,37.5,6,14,42.857142857142854,Fourth,0.0,-6.944444444444443,9.523809523809526,high,med,high,high,high,high,high,high,high
5d4c0d1fe88b9a016f492453,146.02,14.6,10,74.0,8.22,2.0,18,5.44,15,12,0,6,11,5d4c0d1fe88b9a016f492453,3/7/2025 8:17:17,11 / 30,11,30,36.7,8,18,44.44444444444444,3,12,25.0,Fourth,4/17/25 08:30,12 / 30,12,30,40.0,8,16,50.0,4,14,28.57142857142857,Fourth,3.299999999999997,5.555555555555557,3.5714285714285694,med,med,med,med,med,med,med,med,med
5d55fa0ea28df409f1a97a4e,134.48,12.23,11,53.0,8.83,2.0,15,5.07,10,11,0,4,6,5d55fa0ea28df409f1a97a4e,3/7/2025 9:52:48,12 / 30,12,30,40.0,8,18,44.44444444444444,4,12,33.33333333333333,Fourth,4/17/25 08:50,13 / 30,13,30,43.3,7,16,43.75,6,14,42.857142857142854,Fourth,3.299999999999997,-0.6944444444444429,9.523809523809526,med,med,med,med,med,med,med,med,med
5d55fa0ea28df409f1a97a58,163.71,20.46,8,15.0,3.0,0.0,5,7.8,4,1,0,4,0,5d55fa0ea28df409f1a97a58,3/7/2025 9:53:31,6 / 30,6,30,20.0,3,18,16.666666666666664,3,12,25.0,Fourth,4/17/25 08:47,5 / 30,5,30,16.7,3,16,18.75,2,14,14.285714285714285,Fourth,-3.3000000000000007,2.0833333333333357,-10.714285714285715,low,low,high,low,low,low,high,low,low
5d55fa0ea28df409f1a97a5c,130.41,14.49,9,72.0,10.29,2.0,20,4.45,16,14,0,6,11,5d55fa0ea28df409f1a97a5c,3/7/2025 8:11:44,16 / 30,16,30,53.3,9,18,50.0,7,12,58.333333333333336,Fourth,4/17/25 08:30,24 / 30,24,30,80.0,12,16,75.0,12,14,85.71428571428571,Fourth,26.700000000000003,25.0,27.380952380952372,med,med,med,med,med,med,low,med,med
5d5641802e0317170451fa69,22.34,5.58,4,4.0,2.0,0.0,3,1.67,0,0,0,3,0,5d5641802e0317170451fa69,3/6/2025 10:18:49,10 / 30,10,30,33.3,4,18,22.22222222222222,6,12,50.0,Fourth,4/17/25 10:23,11 / 30,11,30,36.7,6,16,37.5,5,14,35.714285714285715,Fourth,3.4000000000000057,15.27777777777778,-14.285714285714285,low,low,low,low,low,low,low,low,low
5d56ea27477f4d0295a3de62,58.66,9.78,6,15.0,3.0,0.0,6,5.0,4,2,0,4,0,5d56ea27477f4d0295a3de62,3/7/2025 9:54:25,9 / 30,9,30,30.0,5,18,27.77777777777778,4,12,33.33333333333333,Fourth,4/17/25 08:45,9 / 30,9,30,30.0,5,16,31.25,4,14,28.57142857142857,Fourth,0.0,3.4722222222222214,-4.761904761904759,low,low,low,low,low,low,med,low,low
