,service_id,assemblesyllables_avgtime,matchcollocations_avgtime,matchsentenceblank_avgtime,matchsynonyms_avgtime,popquizcollocation_avgtime,popquizsynonym_avgtime
0,5d4c0d1fe88b9a016f49228f,9.75,5.61,7.15,5.82,0.0,0.0
1,5d4c0d1fe88b9a016f4922d9,9.05,17.87,17.87,9.69,0.0,0.0
2,5d4c0d1fe88b9a016f492331,10.32,6.83,10.64,5.45,2.02,2.24
3,5d4c0d1fe88b9a016f492354,12.6,6.68,0.0,10.6,0.0,0.0
4,5d4c0d1fe88b9a016f49235b,10.9,12.17,11.3,7.54,0.0,0.0
5,5d4c0d1fe88b9a016f492375,9.48,6.79,10.09,6.98,0.0,2.85
6,5d4c0d1fe88b9a016f49237e,8.99,6.26,12.09,7.9,4.04,2.86
7,5d4c0d1fe88b9a016f49238d,11.23,6.11,0.0,8.74,0.0,0.0
8,5d4c0d1fe88b9a016f4923b4,9.63,5.91,11.07,6.04,2.05,2.55
9,5d4c0d1fe88b9a016f492410,11.31,7.53,15.26,13.95,2.4,3.03
10,5d4c0d1fe88b9a016f49243f,12.18,18.01,15.6,9.2,0.0,0.0
11,5d4c0d1fe88b9a016f492452,8.75,6.68,17.33,7.31,13.75,3.61
12,5d4c0d1fe88b9a016f492453,10.68,7.28,30.99,16.16,4.66,3.57
13,5d4c0d1fe88b9a016f492509,12.4,7.66,14.2,10.14,6.65,6.18
14,5d52e4b119ca9b0c7dde876b,8.79,6.05,12.71,6.31,3.41,2.97
15,5d55fa0ea28df409f1a97a4e,12.84,7.35,13.66,8.91,1.84,4.01
16,5d55fa0ea28df409f1a97a58,16.87,10.61,24.74,7.75,0.0,0.0
17,5d55fa0ea28df409f1a97a5c,6.48,6.39,14.51,6.0,3.5,2.35
18,5d5641802e0317170451fa69,11.43,0.0,0.0,8.91,0.0,0.0
19,5d56ea27477f4d0295a3de62,13.68,7.41,5.63,7.3,0.0,0.0
20,5d56ea27477f4d0295a3de83,16.02,23.5,36.94,13.88,8.8,10.83
21,5d88564d26ca7909d8fb9d08,9.11,6.7,14.75,6.65,2.61,2.83
22,5daa2b2c72f0230b637168e4,8.95,13.25,9.67,5.91,2.19,2.44
23,5dcaa7719cac4b08193c563e,18.11,0.0,0.0,0.0,0.0,0.0
24,5e736f994b7e1505b51a28cf,6.65,11.28,31.77,8.79,6.57,5.25
25,5e736f9a4b7e1505b51a28f3,8.55,11.77,12.9,9.89,2.29,2.31
26,5e736f9a4b7e1505b51a2904,8.6,5.76,8.58,6.48,1.23,1.88
27,5e736f9a4b7e1505b51a2905,11.29,18.01,26.96,10.68,0.0,0.0
28,5e736f9a4b7e1505b51a2909,9.8,10.02,18.39,7.51,0.0,5.71
29,5e736f9a4b7e1505b51a290e,314.85,6.49,9.7,7.16,0.0,0.0
30,5e73c43c41e4ae057aa7fa17,5.97,9.68,10.77,10.45,4.45,3.22
31,5e73c43c41e4ae057aa7fa31,9.5,6.24,17.34,6.65,6.99,2.25
32,5e73c43c41e4ae057aa7fa35,9.6,9.38,13.62,9.41,0.0,4.53
33,5e7ced16d590eb0346105395,12.99,5.27,14.13,8.03,0.0,0.0
34,5e7ced16d590eb034610539a,7.42,6.13,8.77,8.6,1.73,3.12
35,5e7ced16d590eb03461053a3,8.63,8.01,14.49,7.07,2.23,2.43
36,5e7ced16d590eb03461053a6,8.39,6.97,15.32,9.9,3.92,2.23
37,5e7ced16d590eb03461053a8,11.95,8.38,13.57,9.54,24.14,1.49
38,5e7ced16d590eb03461053ac,21.17,8.87,12.58,9.51,0.0,0.0
39,5e7ced16d590eb03461053ae,8.46,6.88,11.42,6.68,2.48,2.41
40,5e7ced16d590eb03461053b4,12.36,9.43,14.3,8.78,21.11,10.78
41,5f2be6d7e4b1e9033697f5b1,8.39,8.74,19.46,11.82,0.0,0.0
42,5f2be6d7e4b1e9033697f64d,8.41,8.29,16.45,9.18,6.28,4.68
43,5f2be6d7e4b1e9033697f650,8.25,10.89,11.24,9.67,4.78,3.75
44,5f2be6d7e4b1e9033697f659,11.49,4.29,0.0,6.65,0.0,0.0
45,5f2be6d7e4b1e9033697f65b,14.86,7.21,27.67,8.75,0.0,0.0
46,5f2be6d7e4b1e9033697f65c,8.15,6.59,9.34,5.96,0.0,10.17
47,5f2be6d7e4b1e9033697f65f,10.66,8.36,14.88,7.12,3.79,4.85
48,5f2be6d7e4b1e9033697f668,7.55,0.0,0.0,0.0,0.0,0.0
49,5f2be6d7e4b1e9033697f66f,7.08,7.15,11.0,7.69,3.9,7.84
50,5f2be6d7e4b1e9033697f674,7.82,4.39,13.02,6.12,2.77,3.38
51,5f2be6d7e4b1e9033697f67b,7.65,5.29,11.31,6.67,2.76,3.3
52,5f2be6d7e4b1e9033697f680,10.05,5.84,12.82,6.95,0.0,2.32
