service_id,total_stars,avg_daily_stars,total_pns,avg_daily_pns,total_days_completed,missions_started,missions_completed,missions_aborted,races_started,popquizzes_started,popquizzes_completed,missing_missions,total_playtime,avg_daily_playtime,days_active,assemblesyllables_totalnumber,matchcollocations_totalnumber,matchsentenceblank_totalnumber,matchsynonyms_totalnumber,popquizcollocation_totalnumber,popquizsynonym_totalnumber,assemblesyllables_totaltime,matchcollocations_totaltime,matchsentenceblank_totaltime,matchsynonyms_totaltime,popquizcollocation_totaltime,popquizsynonym_totaltime,assemblesyllables_avgtime,matchcollocations_avgtime,matchsentenceblank_avgtime,matchsynonyms_avgtime,popquizcollocation_avgtime,popquizsynonym_avgtime,accuracy,total_learning_time,avg_response_time,unique_words_exposed,avg_interactions_per_word,words_with_9plus_exposures,trained_count,untrained_count,random_count,first_exposure_wrong,second_exposure_wrong,avg_exposure_attempts,total_exposures_wrong,avg_wic_attempts,total_wic_wrong,total_wrong,learned_trained_count,imputed_word_data,improved_learning_time
5d4c0d1fe88b9a016f49228f,48,8.0,48.0,8.0,0,11,8.0,3,0,0,0,0,55.95,9.33,6.0,16.0,4.0,6.0,22.0,,,143.85,22.56,56.75,127.51,0.0,0.0,9.75,5.61,7.15,5.82,,,0.63,559.12,7.36,16,4.75,2,11,0,5,0.0,0.0,3.0,0.0,1.0,0.0,0.0,2.0,False,350.67
5d4c0d1fe88b9a016f4922d9,22,4.4,22.0,4.4,0,10,4.0,3,0,0,0,3,48.9,6.99,7.0,9.0,2.0,1.0,10.0,,,70.38,35.73,17.87,99.18,0.0,0.0,9.05,17.87,17.87,9.69,,,0.64,56768.7,1351.64,9,4.67,0,5,0,4,0.0,0.0,3.0,0.0,1.0,0.0,0.0,,True,223.16
5d4c0d1fe88b9a016f492331,96,9.6,106.0,10.6,4,22,12.0,6,14,4,4,4,171.15,14.26,12.0,23.0,7.0,17.0,49.0,1.0,9.0,232.24,56.5,199.56,299.82,2.02,19.74,10.32,6.83,10.64,5.45,2.02,2.24,0.47,1624.4,7.96,23,8.87,13,17,0,6,4.0,6.0,12.5,25.0,6.67,11.0,36.0,2.0,False,809.88
5d4c0d1fe88b9a016f492354,7,2.33,7.0,2.33,0,5,2.0,1,0,0,0,2,29.17,7.29,4.0,3.0,1.0,,3.0,,,37.97,6.68,0.0,31.79,0.0,0.0,12.6,6.68,,10.6,,,0.58,127.4,10.62,3,4.0,0,0,0,3,0.0,0.0,3.0,0.0,1.0,0.0,0.0,,True,76.44
5d4c0d1fe88b9a016f49235b,20,4.0,20.0,4.0,0,8,3.0,1,0,0,0,4,33.81,5.64,6.0,8.0,2.0,1.0,9.0,,,74.29,24.35,11.3,67.46,0.0,0.0,10.9,12.17,11.3,7.54,,,0.69,262.27,9.04,8,3.62,0,4,0,4,0.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,False,177.4
5d4c0d1fe88b9a016f492375,157,10.47,172.0,11.47,6,45,21.0,14,19,6,6,10,259.02,17.27,15.0,39.0,18.0,29.0,71.0,,15.0,352.33,123.15,331.19,504.33,0.0,39.66,9.48,6.79,10.09,6.98,,2.85,0.52,5741.59,18.95,39,7.77,18,29,0,10,0.0,0.0,3.0,0.0,1.0,0.0,0.0,,True,1350.66
5d4c0d1fe88b9a016f49237e,64,8.0,67.0,8.38,2,15,7.0,4,18,1,1,4,96.01,8.0,12.0,18.0,4.0,13.0,29.0,1.0,2.0,155.74,25.06,142.73,215.22,4.04,5.72,8.99,6.26,12.09,7.9,4.04,2.86,0.79,683.97,8.34,18,4.56,2,12,0,6,0.0,0.0,3.0,0.0,1.0,0.0,0.0,5.0,False,548.51
5d4c0d1fe88b9a016f49238d,12,3.0,12.0,3.0,0,5,2.0,3,0,0,0,0,17.35,4.34,4.0,5.0,2.0,,5.0,,,58.51,12.21,0.0,41.02,0.0,0.0,11.23,6.11,,8.74,,,0.63,153.87,8.1,5,3.8,0,1,0,4,0.0,0.0,3.0,0.0,1.0,0.0,0.0,,True,111.74
5d4c0d1fe88b9a016f4923b4,85,9.44,95.0,10.56,3,29,17.0,4,7,3,3,8,139.02,12.64,11.0,20.0,5.0,18.0,42.0,1.0,9.0,182.17,29.57,222.89,256.86,2.05,22.67,9.63,5.91,11.07,6.04,2.05,2.55,0.59,1178.15,7.8,23,6.57,3,17,0,6,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,False,716.21
5d4c0d1fe88b9a016f492410,143,9.53,167.0,11.13,7,35,23.0,6,16,6,6,6,343.67,19.09,18.0,37.0,14.0,25.0,67.0,4.0,20.0,370.37,124.35,367.4,724.98,9.54,62.16,11.31,7.53,15.26,13.95,2.4,3.03,0.65,2581.64,12.01,33,6.52,7,25,0,8,3.0,6.0,6.53,27.0,3.95,19.0,46.0,13.0,False,1658.8
5d4c0d1fe88b9a016f49243f,33,5.5,33.0,5.5,1,18,4.0,14,0,0,0,0,108.76,10.88,10.0,10.0,2.0,7.0,14.0,,,131.02,36.01,115.61,128.99,0.0,0.0,12.18,18.01,15.6,9.2,,,0.61,693.72,12.85,10,5.4,1,6,0,4,0.0,0.0,3.0,0.0,1.0,0.0,0.0,2.0,False,411.63
5d4c0d1fe88b9a016f492452,131,10.92,152.0,12.67,6,36,22.0,13,17,6,5,1,266.4,22.2,12.0,30.0,17.0,22.0,62.0,2.0,19.0,256.64,116.17,399.85,426.29,27.49,69.16,8.75,6.68,17.33,7.31,13.75,3.61,0.61,2178.73,9.56,33,6.91,12,25,0,8,3.0,17.0,7.24,60.0,4.88,39.0,99.0,25.0,False,1295.6
5d4c0d1fe88b9a016f492453,69,7.67,74.0,8.22,2,19,8.0,10,6,2,2,1,146.02,14.6,10.0,18.0,5.0,13.0,33.0,2.0,3.0,193.51,36.41,318.45,371.91,9.31,10.97,10.68,7.28,30.99,16.16,4.66,3.57,0.69,1574.38,16.07,18,5.44,2,12,0,6,0.0,0.0,3.0,0.0,1.0,0.0,0.0,2.0,False,940.56
