"service_id","total_playtime","avg_daily_playtime","days_active","total_pns","total_days_completed","avg_daily_pns","is_inactive","is_never_completed","is_playing_less","is_pnsing_less","is_finishing_less","flags_count"
"5d4c0d1fe88b9a016f492331",12.15,4.05,3,0,0,0,TRUE,TRUE,TRUE,FALSE,FALSE,3
"5d4c0d1fe88b9a016f492375",44.4,11.1,4,25,0,12.5,FALSE,TRUE,FALSE,FALSE,FALSE,1
"5d4c0d1fe88b9a016f49237e",18.8,4.7,4,17,0,8.5,FALSE,TRUE,FALSE,FALSE,FALSE,1
"5d4c0d1fe88b9a016f4923b4",2.3,2.3,1,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE,1
"5d4c0d1fe88b9a016f492410",38.29,12.7633333333333,3,6,0,3,FALSE,TRUE,FALSE,TRUE,FALSE,2
"5d4c0d1fe88b9a016f49243f",5.69,2.845,2,0,0,0,TRUE,TRUE,TRUE,FALSE,FALSE,3
"5d4c0d1fe88b9a016f492452",30.91,10.3033333333333,3,32,0,16,FALSE,TRUE,FALSE,FALSE,FALSE,1
"5d4c0d1fe88b9a016f492453",18.83,6.27666666666667,3,5,0,2.5,FALSE,TRUE,FALSE,TRUE,FALSE,2
"5d4c0d1fe88b9a016f492509",43.46,10.865,4,11,0,5.5,FALSE,TRUE,FALSE,FALSE,FALSE,1
"5d55fa0ea28df409f1a97a4e",3.19,1.595,2,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE,1
"5d55fa0ea28df409f1a97a58",2.86,2.86,1,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE,1
"5d88564d26ca7909d8fb9d08",61.46,15.365,4,22,1,11,FALSE,FALSE,FALSE,FALSE,TRUE,1
"5daa2b2c72f0230b637168e4",5.16,5.16,1,4,0,4,FALSE,TRUE,FALSE,FALSE,FALSE,1
"5e736f994b7e1505b51a28cf",27.5,6.875,4,11,0,5.5,FALSE,TRUE,FALSE,FALSE,FALSE,1
"5e736f9a4b7e1505b51a28f3",12.4,6.2,2,0,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,2
"5e736f9a4b7e1505b51a2904",32.49,10.83,3,28,1,14,FALSE,FALSE,FALSE,FALSE,TRUE,1
"5e736f9a4b7e1505b51a2905",7.04,7.04,1,4,0,4,FALSE,TRUE,FALSE,FALSE,FALSE,1
"5e736f9a4b7e1505b51a290e",4.75,4.75,1,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,0
"5e73c43c41e4ae057aa7fa17",41.44,8.288,5,16,0,8,FALSE,TRUE,FALSE,FALSE,FALSE,1
"5e73c43c41e4ae057aa7fa31",3.39,3.39,1,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE,1
"5e73c43c41e4ae057aa7fa35",34.55,8.6375,4,9,0,4.5,FALSE,TRUE,FALSE,FALSE,FALSE,1
"5e7ced16d590eb0346105395",2.56,2.56,1,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE,1
"5e7ced16d590eb034610539a",27.27,9.09,3,5,0,5,FALSE,TRUE,FALSE,FALSE,FALSE,1
"5e7ced16d590eb03461053a3",13.34,4.44666666666667,3,0,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,2
"5e7ced16d590eb03461053a6",15.81,7.905,2,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,0
"5e7ced16d590eb03461053ac",0.1,0.1,1,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE,1
"5e7ced16d590eb03461053b4",24.94,8.31333333333333,3,12,0,12,FALSE,TRUE,FALSE,FALSE,FALSE,1
"5f2be6d7e4b1e9033697f64d",79.75,26.5833333333333,3,25,1,25,FALSE,FALSE,FALSE,FALSE,TRUE,1
"5f2be6d7e4b1e9033697f650",13.86,4.62,3,2,0,1,FALSE,TRUE,FALSE,TRUE,FALSE,2
"5f2be6d7e4b1e9033697f65b",5.42,2.71,2,0,0,0,TRUE,TRUE,TRUE,FALSE,FALSE,3
"5f2be6d7e4b1e9033697f65c",16.32,8.16,2,12,0,12,FALSE,TRUE,FALSE,FALSE,FALSE,1
"5f2be6d7e4b1e9033697f65f",62.76,20.92,3,0,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,2
"5f2be6d7e4b1e9033697f66f",35.03,11.6766666666667,3,6,0,6,FALSE,TRUE,FALSE,FALSE,FALSE,1
"5f2be6d7e4b1e9033697f674",21.19,7.06333333333333,3,12,0,12,FALSE,TRUE,FALSE,FALSE,FALSE,1
"5f2be6d7e4b1e9033697f680",8.7,4.35,2,1,0,1,FALSE,TRUE,FALSE,TRUE,FALSE,2
"5f2be6d7e4b1e9033697f68d",44.3,11.075,4,13,0,6.5,FALSE,TRUE,FALSE,FALSE,FALSE,1
"5f2be6d7e4b1e9033697f690",21.82,7.27333333333333,3,4,0,4,FALSE,TRUE,FALSE,FALSE,FALSE,1
"5f2be6d7e4b1e9033697f69e",47.88,11.97,4,17,0,8.5,FALSE,TRUE,FALSE,FALSE,FALSE,1
"5f2be6d8e4b1e9033697f6b8",67.32,16.83,4,17,0,8.5,FALSE,TRUE,FALSE,FALSE,FALSE,1
"5f2be6d8e4b1e9033697f6c7",3.81,3.81,1,2,0,2,FALSE,TRUE,TRUE,TRUE,FALSE,3
"5f3ab05ec0b8b509bbf6a567",2.34,2.34,1,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE,1
"5f3d736794738300247cd7e7",25.24,12.62,2,17,0,17,FALSE,TRUE,FALSE,FALSE,FALSE,1
"5f3d736794738300247cd7f8",24.97,6.2425,4,2,0,1,FALSE,TRUE,FALSE,TRUE,FALSE,2
"5f3d736794738300247cd801",101.1,25.275,4,23,0,11.5,FALSE,TRUE,FALSE,FALSE,FALSE,1
"5f3d736794738300247cd814",5.56,1.85333333333333,3,0,0,0,TRUE,TRUE,TRUE,FALSE,FALSE,3
"5f5b7ce9c2c291284d29b4b1",28.61,9.53666666666667,3,12,1,12,FALSE,FALSE,FALSE,FALSE,TRUE,1
"5f8d913f9953ab0654c9012c",27.68,9.22666666666667,3,5,0,5,FALSE,TRUE,FALSE,FALSE,FALSE,1
"5f9c8992342a32392540e70b",28.98,14.49,2,37,2,18.5,FALSE,FALSE,FALSE,FALSE,FALSE,0
"5fab181c708c22005ba08d28",13.67,6.835,2,11,0,5.5,FALSE,TRUE,FALSE,FALSE,FALSE,1
"5fb27a996f1ede06f0f04bee",35.66,8.915,4,28,0,14,FALSE,TRUE,FALSE,FALSE,FALSE,1
"6021bf2e609c0307f35d0512",21.88,5.47,4,5,0,2.5,FALSE,TRUE,FALSE,TRUE,FALSE,2
"61004bda3391170a2edae7d5",14,7,2,14,0,14,FALSE,TRUE,FALSE,FALSE,FALSE,1
"61004bda3391170a2edae7db",40.86,10.215,4,9,0,4.5,FALSE,TRUE,FALSE,FALSE,FALSE,1
"6102ffcc0d043902e8dc8811",106.47,26.6175,4,30,1,15,FALSE,FALSE,FALSE,FALSE,TRUE,1
"6109506f045ae600445815b4",46.02,15.34,3,13,0,13,FALSE,TRUE,FALSE,FALSE,FALSE,1
"61142149bd77291f1dfcea83",2.24,2.24,1,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE,1
"611cf4ca00a13103ab65c14b",31.41,7.8525,4,13,0,6.5,FALSE,TRUE,FALSE,FALSE,FALSE,1
"611d71ca810b491ec5ebd5f9",6.45,6.45,1,0,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,2
"611d71ca810b491ec5ebd5fa",25.28,6.32,4,7,0,3.5,FALSE,TRUE,FALSE,TRUE,FALSE,2
"61f0be54be9a7c1d4e9b7c66",0.1,0.1,1,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE,1
"61fb09b7b37b920de810f34d",45.2,11.3,4,18,0,9,FALSE,TRUE,FALSE,FALSE,FALSE,1
"62968c94929d68045116d328",41,10.25,4,7,0,3.5,FALSE,TRUE,FALSE,TRUE,FALSE,2
"6297de0b70cd210229cad86b",24.87,6.2175,4,17,0,8.5,FALSE,TRUE,FALSE,FALSE,FALSE,1
"62a26a16be9a7c001be79026",47.86,11.965,4,20,1,10,FALSE,FALSE,FALSE,FALSE,TRUE,1
"62e14e176e5de41b053f3acb",45.77,9.154,5,25,2,12.5,FALSE,FALSE,FALSE,FALSE,FALSE,0
"62f6d1fa3d2cc21b04da2d62",7.88,7.88,1,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,0
