"service_id","total_pns","total_days_completed","avg_daily_pns"
"5d4c0d1fe88b9a016f492331",3,0,3
"5d4c0d1fe88b9a016f492375",45,0,15
"5d4c0d1fe88b9a016f4923b4",8,0,4
"5d4c0d1fe88b9a016f49243f",2,0,2
"5d4c0d1fe88b9a016f492452",13,0,6.5
"5d4c0d1fe88b9a016f492453",2,0,1
"5d56ea27477f4d0295a3de62",1,0,1
"5d88564d26ca7909d8fb9d08",17,0,17
"5e736f9a4b7e1505b51a28f3",4,0,4
"5e736f9a4b7e1505b51a2905",7,0,7
"5e736f9a4b7e1505b51a2909",7,0,7
"5e736f9a4b7e1505b51a290e",10,0,10
"5e73c43c41e4ae057aa7fa17",3,0,1
"5e7ced16d590eb03461053a6",13,0,13
"5e7ced16d590eb03461053b4",19,0,9.5
"5f2be6d7e4b1e9033697f64d",64,0,12.8
"5f2be6d7e4b1e9033697f65c",12,0,6
"5f2be6d7e4b1e9033697f674",4,0,2
"5f2be6d7e4b1e9033697f687",9,0,9
"5f2be6d8e4b1e9033697f6b8",29,0,7.25
"5f3ab05ec0b8b509bbf6a567",12,0,6
"5f3d736794738300247cd801",20,0,10
"5fab181c708c22005ba08d28",16,0,16
"6021bf2e609c0307f35d0512",4,0,4
"61004bda3391170a2edae7d5",22,0,5.5
"61004bda3391170a2edae7db",1,0,0.333333333333333
"6109506f045ae600445815b4",2,0,1
"61142149bd77291f1dfcea83",19,0,4.75
"611cf4ca00a13103ab65c14b",12,0,12
"62968c94929d68045116d328",12,0,12
"6297de0b70cd210229cad86b",15,0,15
"62a26a16be9a7c001be79026",27,0,27
"62e14e176e5de41b053f3acb",14,0,7
"62feb561aca92c1599166d13",24,0,24
"62feb561aca92c1599166d19",5,0,5
"62feb561aca92c1599166d1e",6,0,6
"62feb561aca92c1599166d3b",2,0,2
"62feb561aca92c1599166d44",3,0,3
"62feb561aca92c1599166d52",5,0,5
"62feb561aca92c1599166d69",6,0,6
"62feb561aca92c1599166d7a",18,0,18
"632bd5da1a4fa806fd718ece",4,0,4
"64c95026ea2c110826452910",34,0,8.5
"65fdc11d0c1f990241ce0871",1,0,1
"66a493a26adb394eac8afaef",12,0,6
"66ac438b9c30f1160705f662",6,0,6
"66bdd09a9c416f14eb7e27d4",22,0,22
"671021e16dcdb304774b3af5",12,0,12
"67941580c5ae4514acce4ff3",1,0,0.5
