"service_id","total_playtime","avg_daily_playtime","days_active"
"5d4c0d1fe88b9a016f492331",3.83,3.83,1
"5d4c0d1fe88b9a016f49243f",3.53,3.53,1
"5d4c0d1fe88b9a016f492452",16.75,8.375,2
"5d4c0d1fe88b9a016f492453",3.6,1.8,2
"5d4c0d1fe88b9a016f492509",0.43,0.215,2
"5d55fa0ea28df409f1a97a5c",2.24,2.24,1
"5d56ea27477f4d0295a3de62",3.51,3.51,1
"5e736f9a4b7e1505b51a28f3",7.35,7.35,1
"5e736f9a4b7e1505b51a2905",8.2,8.2,1
"5e736f9a4b7e1505b51a2909",7.45,7.45,1
"5e73c43c41e4ae057aa7fa17",9.58,3.19333333333333,3
"5e73c43c41e4ae057aa7fa31",7.07,7.07,1
"5e7ced16d590eb0346105395",1.3,1.3,1
"5e7ced16d590eb03461053b4",18.47,9.235,2
"5f2be6d7e4b1e9033697f65b",0.03,0.03,1
"5f2be6d7e4b1e9033697f668",1.95,1.95,1
"5f2be6d7e4b1e9033697f674",5.28,2.64,2
"5f2be6d7e4b1e9033697f680",1.07,1.07,1
"5f2be6d7e4b1e9033697f690",0.49,0.49,1
"5f2be6d8e4b1e9033697f6b8",28.55,7.1375,4
"5f3ab05ec0b8b509bbf6a567",14.68,7.34,2
"5f3d736794738300247cd7f8",9.19,4.595,2
"5f3d736794738300247cd801",13.52,6.76,2
"5f3d736794738300247cd814",1.63,1.63,1
"61004bda3391170a2edae7d5",29.94,7.485,4
"61004bda3391170a2edae7db",3.97,1.985,3
"6109506f045ae600445815b4",3.52,1.76,2
"61142149bd77291f1dfcea83",28.15,7.0375,4
"611cf4ca00a13103ab65c14b",9.23,9.23,1
"62e14e176e5de41b053f3acb",12.35,6.175,2
"62feb561aca92c1599166d19",5.38,5.38,1
"62feb561aca92c1599166d1e",8.37,8.37,1
"62feb561aca92c1599166d3b",5.9,5.9,1
"62feb561aca92c1599166d44",6.52,6.52,1
"62feb561aca92c1599166d52",6.33,6.33,1
"62feb561aca92c1599166d69",6.52,6.52,1
"632bd5da1a4fa806fd718ece",4.22,4.22,1
"65fdc11d0c1f990241ce0871",5.9,5.9,1
"66a493a26adb394eac8afaef",13.8,6.9,2
"671021e16dcdb304774b3af5",7.58,7.58,1
"67941580c5ae4514acce4ff3",4.7,4.7,1
"67bdcb0e860c98544cfb9ced",2.22,1.11,2
