"service_id","total_pns","total_days_completed","avg_daily_pns"
"5d4c0d1fe88b9a016f49228f",23,0,11.5
"5d4c0d1fe88b9a016f49235b",25,0,12.5
"5d4c0d1fe88b9a016f492410",9,0,4.5
"5d4c0d1fe88b9a016f492453",4,0,2
"5d4c0d1fe88b9a016f492509",41,0,13.6666666666667
"5d52e4b119ca9b0c7dde876b",15,0,3.75
"5d55fa0ea28df409f1a97a4e",20,0,10
"5d56ea27477f4d0295a3de83",26,0,6.5
"5dcaa7719cac4b08193c563e",3,0,3
"5e736f9a4b7e1505b51a2909",32,0,6.4
"5e736f9a4b7e1505b51a290e",3,0,3
"5e7ced16d590eb0346105395",20,0,10
"5e7ced16d590eb03461053a3",32,0,10.6666666666667
"5e7ced16d590eb03461053a8",12,0,12
"5e7ced16d590eb03461053ac",8,0,8
"5f2be6d7e4b1e9033697f5b1",4,0,4
"5f2be6d7e4b1e9033697f66f",23,0,7.66666666666667
"5f2be6d7e4b1e9033697f67b",30,0,15
"5f2be6d7e4b1e9033697f69e",3,0,3
"5f2be6d8e4b1e9033697f6b8",28,0,7
"5f3ab05ec0b8b509bbf6a567",26,0,6.5
"5f3d736794738300247cd7e7",2,0,1
"5f3d736794738300247cd813",14,0,7
"5f3d736794738300247cd814",17,0,4.25
"61004bda3391170a2edae7d5",41,0,10.25
"6109506f045ae600445815b4",13,0,6.5
"61142149bd77291f1dfcea83",73,0,14.6
"62e14e176e5de41b053f3acb",2,0,1
"62eaad610a343e622a7c1515",14,0,14
"62fc7b5560e8b80dda61b61f",25,0,8.33333333333333
"6304030f91971500c6e381af",21,0,10.5
"632bd5da1a4fa806fd718ece",1,0,0.333333333333333
"64411d4f0b79f10d5ad65baa",15,0,15
"65df6c2e874f0c0b69e2ee30",2,0,1
"65e73d65b65cb4036e2eca20",25,0,8.33333333333333
"66a3b9086adb392850489cc4",31,0,10.3333333333333
"66a493a26adb394eac8afaee",14,0,14
"671021e16dcdb304774b3af5",12,0,12
"67bdcb0e860c98544cfb9ced",24,0,8
