id,timestamp_x,original_score_x,total_correct_x,total_questions_x,percentage_x,total_trained_correct_x,total_trained_questions_x,trained_percentage_x,total_untrained_correct_x,total_untrained_questions_x,untrained_percentage_x,grade_x,timestamp_y,original_score_y,total_correct_y,total_questions_y,percentage_y,total_trained_correct_y,total_trained_questions_y,trained_percentage_y,total_untrained_correct_y,total_untrained_questions_y,untrained_percentage_y,grade_y,timestamp_pre,original_score_pre,total_correct_pre,total_questions_pre,percentage_pre,total_trained_correct_pre,total_trained_questions_pre,trained_percentage_pre,total_untrained_correct_pre,total_untrained_questions_pre,untrained_percentage_pre,grade_pre,timestamp_mid,original_score_mid,total_correct_mid,total_questions_mid,percentage_mid,total_trained_correct_mid,total_trained_questions_mid,trained_percentage_mid,total_untrained_correct_mid,total_untrained_questions_mid,untrained_percentage_mid,grade_mid
5d4c0d1fe88b9a016f4922d9,3/7/2025 8:08:50,21 / 30,21.0,30.0,70.0,13.0,18.0,72.22222222222221,8.0,12.0,66.66666666666666,Fourth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5d52e4b119ca9b0c7dde876b,,,,,,,,,,,,,4/17/25 08:27,22 / 30,22.0,30.0,73.3,13.0,16.0,81.25,9.0,14.0,64.28571428571429,Fourth,,,,,,,,,,,,,,,,,,,,,,,,
5e7ced16d590eb0346105395,,,,,,,,,,,,,4/17/25 10:09,13 / 30,13.0,30.0,43.3,6.0,16.0,37.5,7.0,14.0,50.0,Fourth,,,,,,,,,,,,,,,,,,,,,,,,
5e7ced16d590eb03461053b4,,,,,,,,,,,,,4/17/25 08:55,11 / 30,11.0,30.0,36.7,7.0,16.0,43.75,4.0,14.0,28.57142857142857,Fourth,,,,,,,,,,,,,,,,,,,,,,,,
5f2be6d7e4b1e9033697f674,3/6/2025 10:54:33,18 / 30,18.0,30.0,60.0,12.0,18.0,66.66666666666666,6.0,12.0,50.0,Fourth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5f2be6d7e4b1e9033697f68e,3/6/2025 10:21:34,13 / 30,13.0,30.0,43.3,7.0,18.0,38.88888888888889,6.0,12.0,50.0,Fourth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5f3ab05ec0b8b509bbf6a567,,,,,,,,,,,,,4/17/25 08:48,9 / 30,9.0,30.0,30.0,5.0,16.0,31.25,4.0,14.0,28.57142857142857,Fourth,,,,,,,,,,,,,,,,,,,,,,,,
5f3d736794738300247cd813,,,,,,,,,,,,,4/17/25 10:08,14 / 30,14.0,30.0,46.7,7.0,16.0,43.75,7.0,14.0,50.0,Fourth,,,,,,,,,,,,,,,,,,,,,,,,
611fe889523bf110b714d5ae,3/7/2025 8:12:56,8 / 30,8.0,30.0,26.7,5.0,18.0,27.77777777777778,3.0,12.0,25.0,Fourth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6171ce92c159270f01c43a9c,,,,,,,,,,,,,4/17/25 08:30,14 / 30,14.0,30.0,46.7,8.0,16.0,50.0,6.0,14.0,42.857142857142854,Fourth,,,,,,,,,,,,,,,,,,,,,,,,
618db4b4bef73809d21f81e7,,,,,,,,,,,,,4/17/25 08:29,24 / 30,24.0,30.0,80.0,12.0,16.0,75.0,12.0,14.0,85.71428571428571,Fourth,,,,,,,,,,,,,,,,,,,,,,,,
62eaad610a343e622a7c1515,,,,,,,,,,,,,4/17/25 10:14,13 / 30,13.0,30.0,43.3,9.0,16.0,56.25,4.0,14.0,28.57142857142857,Fourth,,,,,,,,,,,,,,,,,,,,,,,,
6398ca5aa0b12303e7d6a80f_4th,3/7/2025 8:26:00,8 / 30,8.0,30.0,26.7,4.0,18.0,22.22222222222222,4.0,12.0,33.33333333333333,Fourth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64c95026ea2c11082645290b,3/7/2025 9:53:25,9 / 30,9.0,30.0,30.0,5.0,18.0,27.77777777777778,4.0,12.0,33.33333333333333,Fourth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65e73d65b65cb4036e2eca20,,,,,,,,,,,,,4/17/25 08:25,21 / 30,21.0,30.0,70.0,11.0,16.0,68.75,10.0,14.0,71.42857142857143,Fourth,,,,,,,,,,,,,,,,,,,,,,,,
66ab86c388d894234270be6f,,,,,,,,,,,,,4/17/25 08:51,9 / 30,9.0,30.0,30.0,5.0,16.0,31.25,4.0,14.0,28.57142857142857,Fourth,,,,,,,,,,,,,,,,,,,,,,,,
