id,timestamp_x,original_score_x,total_correct_x,total_questions_x,percentage_x,total_trained_correct_x,total_trained_questions_x,trained_percentage_x,total_untrained_correct_x,total_untrained_questions_x,untrained_percentage_x,grade_x,timestamp_y,original_score_y,total_correct_y,total_questions_y,percentage_y,total_trained_correct_y,total_trained_questions_y,trained_percentage_y,total_untrained_correct_y,total_untrained_questions_y,untrained_percentage_y,grade_y,timestamp_pre,original_score_pre,total_correct_pre,total_questions_pre,percentage_pre,total_trained_correct_pre,total_trained_questions_pre,trained_percentage_pre,total_untrained_correct_pre,total_untrained_questions_pre,untrained_percentage_pre,grade_pre,timestamp_mid,original_score_mid,total_correct_mid,total_questions_mid,percentage_mid,total_trained_correct_mid,total_trained_questions_mid,trained_percentage_mid,total_untrained_correct_mid,total_untrained_questions_mid,untrained_percentage_mid,grade_mid
5d4c0d1fe88b9a016f4922d9,3/7/2025 8:08:50,21 / 30,21.0,30.0,70.0,13.0,18.0,72.22222222222221,8.0,12.0,66.66666666666666,Fourth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5d52e4b119ca9b0c7dde876b,,,,,,,,,,,,,4/17/25 08:27,22 / 30,22.0,30.0,73.3,13.0,16.0,81.25,9.0,14.0,64.28571428571429,Fourth,,,,,,,,,,,,,,,,,,,,,,,,
5e7ced16d590eb0346105395,,,,,,,,,,,,,4/17/25 10:09,13 / 30,13.0,30.0,43.3,6.0,16.0,37.5,7.0,14.0,50.0,Fourth,,,,,,,,,,,,,,,,,,,,,,,,
5e7ced16d590eb03461053b4,,,,,,,,,,,,,4/17/25 08:55,11 / 30,11.0,30.0,36.7,7.0,16.0,43.75,4.0,14.0,28.57142857142857,Fourth,,,,,,,,,,,,,,,,,,,,,,,,
5f2be6d7e4b1e9033697f674,3/6/2025 10:54:33,18 / 30,18.0,30.0,60.0,12.0,18.0,66.66666666666666,6.0,12.0,50.0,Fourth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5f2be6d7e4b1e9033697f68e,3/6/2025 10:21:34,13 / 30,13.0,30.0,43.3,7.0,18.0,38.88888888888889,6.0,12.0,50.0,Fourth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5f3ab05ec0b8b509bbf6a567,,,,,,,,,,,,,4/17/25 08:48,9 / 30,9.0,30.0,30.0,5.0,16.0,31.25,4.0,14.0,28.57142857142857,Fourth,,,,,,,,,,,,,,,,,,,,,,,,
5f3b03ce10ad3b01bbf0aa05,3/6/2025 9:46:45,6 / 30,5.0,30.0,16.7,1.0,18.0,5.555555555555555,4.0,12.0,33.33333333333333,Second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5f3d736794738300247cd813,,,,,,,,,,,,,4/17/25 10:08,14 / 30,14.0,30.0,46.7,7.0,16.0,43.75,7.0,14.0,50.0,Fourth,,,,,,,,,,,,,,,,,,,,,,,,
5f6a17eee1362503f16dceaa,3/10/2025 8:53:11,10 / 30,11.0,30.0,36.7,8.0,18.0,44.44444444444444,3.0,12.0,25.0,Second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60f5b0f7b118b00078c89b94,3/10/2025 8:55:12,14 / 30,15.0,30.0,50.0,7.0,18.0,38.88888888888889,8.0,12.0,66.66666666666666,Second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60f853f68f64550081c17689,3/6/2025 10:01:25,14 / 30,13.0,30.0,43.3,7.0,18.0,38.88888888888889,6.0,12.0,50.0,Second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60f9ac9cb333ae04023f05ec,3/14/2025 14:02:24,19 / 30,20.0,30.0,66.7,10.0,18.0,55.55555555555556,10.0,12.0,83.33333333333334,Second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
610d6c6d84475f025c97d6d9,3/6/2025 9:46:55,9 / 30,10.0,30.0,33.3,7.0,18.0,38.88888888888889,3.0,12.0,25.0,Second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
